params,molecule,choice,fail,time
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"C1(CSTSS[N+]2(TC2)C1)(X)c3nc(C[N+]4)c4s3",0,115,149853
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"c1c[nH]cc1N(Cl)\[TH+]=C(c2ncnn2TC[TH+])/C",0,8,45999
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"I/N=[N+]([C@@H]1OC[C@H]CTN1(CCCC))\[N+]_",0,105,209752
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"Cl\[TH+]=[N+](N1TC([C@]Oc2nn[nH]c2)TC1)/S",0,254,403274
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,"T1N=C[TH+]N(C[C@@H]2(T[TH+](I)OI))C2COS1",0,1229,677468
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"c1c[nH]cc1N(OX)[N+]TC(C[TH+])(T)[N+]#COCl",0,543,765695
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,"FTOC1([C@@]T1)N=NOTTc2n([C@](=CBr)I)ccc2X",0,87,134567
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"T(c1[nH]ncc1)O/[C@H]=C(SOSN=CC(T)CBr)\T__",0,33,53183
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"Br\[C@@]=C(c1c2(SOOSC=N[C@H]2(R))ccc1X)/O",0,4,93254
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"F\C(c1nscc1N2TN(Cl)TCTTC2(=C=CBr))=[N+]/T_",0,20,67417
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"RCC1(TS[TH+]CSCN1(Cl))S[C@]\N=C(CCCCCBr)/T",0,5,57308
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"N#[N+][N+]=C(R)OO[TH+]SC[N+]C(=CCI)[TH3+]",0,255,190035
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"CC#[N+]N=CCTTC=NN=[N+]TOCTC=CC(I)=CCCCCF",0,286,257115
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"Cl\[N+](X)=[C@@](c1c2c([N+]TS2)sc1Br)\[N+]",0,110,141045
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"Br/[TH+]=[C@](c1[nH]c2c(TC(I)CT2)c1OCCl)\S",0,2,40646
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"RO\C=[C@](N=N[N+]T([TH+]S/N=C\C(=CF)))/S",0,7,130920
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"RN1S[C@@H][C@@H]N(N=S)ON(CCBr)[C@H]1_____",0,0,86343
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,"N#CO[N+]#Cc1onnc1OC[C@@]OTC#C[C@@](=C)TBr",0,167,146510
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,"Cl/N=C(O\C=C(T[C@H](STCX)R)\C(SX))\[C@@H]",0,261,374504
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,"S=[C@]c1cnsc1S\C=[N+]/[N+]______________",0,486,640912
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"ClN1T[C@]TN=[TH+]C2(CN(Cl)[TH+]C2(Cl)(R))N1",0,101,117559
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"I\C=[N+](T/[N+]=N/C(OCC(TC1(TTR))C1I))/S",0,5,103932
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,"R/C=C(COTCO/[TH+]=N\C1(C(R)CCC[C@@]1))\S",0,11,70018
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"c1[nH]cc(X)c1C[C@@](CX)c2cc(ON3(X))c3n2T",0,2079,918348
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"RN=Cc1nonc1O[N+]=[TH+]T[C@H](I)C2(Br)CCS2",0,5,58897
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"TC#COSSTON(F)TT[C@]=C=CC1CC[C@](=C=CI)N1",0,37,93578
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"c1occc1N=CCS\N=C(O/N=N\[C@H](N(SCF)Br))/O",0,103,182826
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"RS(=O)(=O)N(STc1c(N=T)n(Br)cc1)\[C@]=C\C_",0,115,378835
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"X[TH+]ST[TH+]=N[C@@]c1onnc1c2cccc(Br)c2CX",0,8,96970
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"c1oncc1N(N=O)[TH+]TCN=[TH+]C(CBr)SCCCCCCCl",0,301,355883
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"c1onnc1C2(O[N+]3(ON3)O2)c4cnccc4C=CCCC#N",0,259,343341
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"R/[TH+]=[N+](OO/[N+]=N\C(OSCCCCCBr))\[C@]",0,5,59227
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"C=CSC#[C@]SCOC#Cc1n[nH]nc1c2cncn2T[TH+]F",0,287,250707
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"Cl/C(c1occ(c2snnn2)c1CCC=[TH+]TI)=C/[C@H]",0,4,51418
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,"T/N=C([N+]CO/N=C\N([C@H]SSS[C@](=CI)))/C",0,503,428676
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,"ClTT/[N+]=[C@](S[N+]1(F)C(SI)SOC[TH+]1)/C",0,411,313457
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"[O-]/C=C(N(N(Br)STR)(CTN1[C@@]=[TH+]1))\T",0,161,292667
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,"[TH+]C#[N+]SN=[C@@]TCSTTTS[C@][C@](=CI)Br",0,9,64831
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"C[C@@H]\[TH+]=[N+](S/N=N/[C@](=COTOC))\T",0,253,399585
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"TN1ON(Cl)N=NO[C@]2(CN(CCl)C2(I)(C[TH+]))N1",0,31,75742
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,"ClS/[TH+]=C([C@]S/[N+]=[TH+]/C(=NCSSI))/O",0,258,312883
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"N(Cl)(TOI)\[N+](OT/N=[C@@H]/N(I))=C(CT)/T",0,101,221725
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"C/[C@](S[C@]c1sccc1OC(X)TTTC=T)=C\[C@@H]",0,116,134265
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"I\C(SN(I)([C@@H]/N=[C@]\[TH+]))=[C@@H]/O",0,3,79026
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"R\N=[N+]([C@]1SOSSN=[C@]([C@](=C))T1)/T_",0,3,92807
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,"CS\N=[C@@](TT\C(N1COC(=C)[C@H]O1)=N/O)\T",0,535,809185
