params,molecule,choice,fail,time
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"[C@H]c1oc(TR)cc1O[TH+]OOCTC(N=C2(I))=C2R",,#fail: 13,execution time (ms): 70026
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"ISN(OSF)\N=[C@@](O(T/N=N/[C@](CC(Cl))))\T",,#fail: 116,execution time (ms): 172639
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"T[C@H]/[N+]=C(T[TH+][C@H](CCCCCBr)SC=C)\C",,#fail: 24,execution time (ms): 66726
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"X\N=[C@](S(c1snnc1T/C(CCl)=[N+]/N(CCl)))\O",,#fail: 255,execution time (ms): 546963
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"X\N=[C@@](OTc1conc1[TH+]c2occc2[TH+]Br)\S",,#fail: 105,execution time (ms): 191783
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"[C@H]S\N=C(S[C@]C#CSTN=CN=NN=CCI)\[C@@H]",,#fail: 0,execution time (ms): 46875
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"C1(CSTSS[N+]2(TC2)C1)(X)c3nc(C[N+]4)c4s3",,#fail: 115,execution time (ms): 149853
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"c1c[nH]cc1N(Cl)\[TH+]=C(c2ncnn2TC[TH+])/C",,#fail: 8,execution time (ms): 45999
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"I/N=[N+]([C@@H]1OC[C@H]CTN1(CCCC))\[N+]_",,#fail: 105,execution time (ms): 209752
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"Cl\[TH+]=[N+](N1TC([C@]Oc2nn[nH]c2)TC1)/S",,#fail: 254,execution time (ms): 403274
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,"T1N=C[TH+]N(C[C@@H]2(T[TH+](I)OI))C2COS1",,#fail: 1229,execution time (ms): 677468
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"c1c[nH]cc1N(OX)[N+]TC(C[TH+])(T)[N+]#COCl",,#fail: 543,execution time (ms): 765695
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,"FTOC1([C@@]T1)N=NOTTc2n([C@](=CBr)I)ccc2X",,#fail: 87,execution time (ms): 134567
