params,molecule,choice,fail,time
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -200 -100 true,O(N1CTTC1)CTCSC2C(T)C(N(T[C@])([O-]))=C2, 979, 475, 52029
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,N(Br)(Br)TON=[TH+]c1[nH]cnc1[TH+]TTCl______, 34, 6, 41283
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,N#CCS/C(C#[C@@]TS\C=N/C(CSI))=[C@H]/[C@], 595, 255, 111033
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,N(c1nocn1)([N+](=O)I)/[N+]=[N+]/[C@@H]__, 27, 2, 34345
40 maxMarginal true false 2 1 1800 1750 2250 -200 -100 true,T(C#CC(CC(C(C(C(C(C(=C)))C#C)))))C1TTTT1, 108, 34, 34278
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 100 200 true,FO[N+](N(X)TR)(T)TC1CCC(CN2OCCC2)[C@@]1_, 43, 5, 34538
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,[O-]N=NSc1nsnc1TT[N+]/C(C=C(I)F)=[C@@]/C, 156, 65, 39951
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,ITN=[C@]=[C@]c1ocnc1O\N=[N+](c2cncn2Cl)/C, 39, 7, 34902
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,S1(=O)(=O)N(F)N=CS(=O)(=O)[N+](CC)[TH+]1, 567, 253, 172806
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,T[C@H][TH+]c1snnc1c2occ(Cl)c2N(TT)[TH+]__, 215, 95, 37583
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,C(STTSN(C#COF)TCOC)(N(C[C@@]CC1)C1)(C)TF, 90, 27, 44185
40 maxMarginalLDS true false 2 1 1800 1750 2250 -400 -300 true,T(COCC(CC(C(C(C(C(C(#C))F)=C)))))C1TTTT1, 764, 47, 377941
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,C1(C(N(SN(CX)Cl)C=C[C@@H]=S)=C1)(TOOC)OOF, 424, 196, 45250
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 100 200 true,O(TTOOC1)C1(CC(C)C(C(C))(C2=CTTC2))CTC__, 40, 2, 64813
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,C(ON(T)N1TC1)(CC2CC(CTCCR)(C)C2)CN3CCTS3, 33, 1, 51374
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 100 200 true,CC(N(CTC1)C1N(=[C@]=C))(C)C(OC2TTS2)=NTR, 251, 108, 56004
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,[O-][TH+]\[N+]=[N+](C(R)[TH+]SN1OCCC1)\O, 266, 110, 91006
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,N#[C@@]N1N=COT[TH+]=[C@]([C@H]COOI)N1___, 576, 252, 123906
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -200 -100 true,C(TX)(CCSN1TCC1(T[C@]O[C@@]2=CC=N2))TC=O, 407, 188, 43364
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -200 -100 true,ClCOSTCN(TCC#CCC#CSC1(TS1)C(CC=NT2)C2C)CF, 6575, 3271, 309297
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,c1nc[nH]c1N2OSO[C@H]O[N+](CN=CC3(Cl))C3S2, 55, 13, 23708
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,Br[C@@][N+]O/[N+]=C/S____________________, 22, 4, 33084
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -200 -100 true,BrN(CC1TSC1)CTC(CCT[TH3+])(OSF)OC2OC(C)CC2, 35, 1, 33068
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,I/C(TSc1[nH]nnc1C=NTS[C@]=[TH+])=[TH+]/C, 190, 82, 43439
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,TSC1CN=CS[C@@H]C2(SO[TH+]N2(R))[C@@]1___, 258, 105, 79382
40 maxMarginalStrengthLDS true false 2 1 1800 1750 2250 100 200 true,T(C(C)CCCSC(C=C(C(C(=C)))))C1CC2(TTT2)T1, 42, 1, 45358
