params,molecule,choice,fail,time
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,X/[TH+]=[N+](SOc1cscc1[TH+]N(SBr)I)/[TH+], 40, 7, 247337
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,c1onnc1[TH+]c2[nH]c(C)nc2CTOC3[C@][N+]T3, 75, 24, 132023
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,T\C(T[TH+]\C(c1cn[nH]c1[TH+]CF)=N/S)=N\S, 250, 104, 417590
40 maxMarginalLDS true false 2 1 1800 1750 2250 -400 -300 true,T(C(C(C1C(C(COC2CTTC2)OOC#C)TTC1)))C____, 74, 7, 245566
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,C#CSOCN1CC(T(SOC(OC=NOC)(C#[C@])))(X)CC1, 125, 48, 181246
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,COTCCCCOON(S(TCCTCN1SC([C@](=C))[C@]1))C, 227, 98, 189224
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,X/N=[N+](OC/[TH+]=[N+]/C([TH+](OSI)C))/T, 654, 292, 831683
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -200 -100 true,C1TC(CCSCl)(N=NCSOCN(TC(X)CF)C(OCl)(=C))C1, 121, 43, 175151
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -200 -100 true,T1C(CON(OOC2=[C@@H][C@@]=C2)CN=CC=T)TST1, 2029, 999, 790048
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,[O-]SS[TH+]Tc1snnc1C[TH+][N+][C@](Br)[C@], 36, 7, 215180
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -200 -100 true,XC(STCBr)C1N(CTCOC(=C(SCSC#CTC))C(CX))CC1, 324, 145, 182275
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,[TH3+]O\C(N(CI)(TN(N([C@])O1)[N+]1R))=C\C, 54, 14, 245565
40 maxMarginalStrengthLDS true false 2 1 1800 1750 2250 100 200 true,T(C(C1TCC1)C2CCTC2(C(C=C=C(C3OCTT3))))C_, 103, 9, 233564
40 maxMarginalStrength true false 2 1 1800 1750 2250 -400 -300 true,T(C(C1TCC1)C2CTOC2(C(C=C(C#CN3TTN3))))F_, 98, 30, 200291
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -200 -100 true,CC(TC)(C(C)SOC(OOCN1TN(F)C1)CCT)C=C(F)SBr, 61, 12, 166152
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -400 -300 true,COC#COTCOCN(TCCOC(CF)OTCC1[C@](=C=C)C1)T, 31, 1, 260948
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,N#C[N+]TTN=C[TH+]N([N+]SCl)[C@](C)[C@@]#N, 26, 1, 167165
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -400 -300 true,BrC(OTF)OSTTC(Cl)(N1TSCC=C1)[C@](=C)C(C)TF, 73, 23, 156085
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,Br/[N+]=[N+](S(OCN(X)C1[C@H]TC1(=T)))/T__, 261, 107, 479926
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,FTSON(Cl)TTC/N=[C@@](C#[C@@]OC(=[TH+]))\T, 93, 33, 368717
40 maxMarginalStrengthLDS true false 2 1 1800 3750 4250 -400 -300 true,C1CC(C(TCTCCOCCOCCTCTCOCOCTCC2CCOC2))CC1, 40, 1, 179150
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,ROTc1scnc1N=[N+]C[TH+]=NN=C[C@](=CCBr)CBr_, 368, 161, 532458
