[INFO] Scanning for projects...
[INFO] 
[INFO] -------------------------< minicpbp:minicpbp >--------------------------
[INFO] Building minicpbp 1.0
[INFO]   from pom.xml
[INFO] --------------------------------[ jar ]---------------------------------
[INFO] 
[INFO] --- exec:3.1.0:java (default-cli) @ minicpbp ---
nb eq ; ineq 4 ; 0
maxMarginal
c Warning: method updateBelief not implemented yet for LinEqSystemModP constraint. Using uniform belief instead.
[INFO] Now solving
No restarts
XN(CC(C)CTC(CSCTC=CC(C#C)C=CF))C________ weight of 2671 logP of 0
TSOTC(C=CTC(C)CTC(CC(C)COC(C)))C________ weight of 2581 logP of 0
T(CSC(C=CTC(C)CTC)CC(CSC#C(C)))C________ weight of 2682 logP of 0
XC(OC(C#CTC(C)CTC#CC(COC#CSC)))C________ weight of 2621 logP of 0
TTCTC(C=CTC(CSCTCCCC(CCC=C=C)))C________ weight of 2641 logP of 0
O=CCC(C#CTC(C#CTC=CC(COCTCCC)))C________ weight of 2580 logP of 0
XOC=C(CCCTC(C#CTC(CC(C)C#C)CX))C________ weight of 2300 logP of 0
S=CTC(C)CTC(C(CTC=CC(C)CCCCCX))C________ weight of 2661 logP of 0
XC#CC(C=CTC(C=CTC#CC(C)C=CSCX))C________ weight of 2421 logP of 0
FSOTC(C=CTC(CCCTC=CC(C)C=C=CX))C________ weight of 2681 logP of 0
TC=NC(C=CTC(CCCTC=CC(C)C=CTCR))C________ weight of 2310 logP of 0
O(T)C(COCTC(C#CTCTCC(C)C=CSCR))C________ weight of 2541 logP of 0
T(O(C(CCCTC(C)CTC)CC(CSCTC)CX))C________ weight of 2581 logP of 0
RC#CC(C(CTC(C)CTC)CC(CCCCCTCR))C________ weight of 2480 logP of 0
[N+]C(CTCTC(C=CTC)CC(COCSC#CF))C________ weight of 2721 logP of 0
COCOC(C)CTC(C)CTCTCC(CTCCC(CT))C________ weight of 2700 logP of 0
FON=C(C#CTC(C)CTCOCC(CTCOCTCT))C________ weight of 2710 logP of 0
CTCCC(C#CTC(CTCTCCCCTC(C#CCC)))C________ weight of 2580 logP of 0
XC=NC(COCTC(COCTC=CC#C(C=CCC)))C________ weight of 2610 logP of 0
T(C=C(C#CTC(CCCTC)CC#C(CTCCC)))C________ weight of 2280 logP of 0
ClCTTC(C)CTC(C(CTC)CCSC(C#C(C)))C________ weight of 2726 logP of 0
FN(TC(CCCTC(CTCTC#CC)C(C)C#CR))C________ weight of 2350 logP of 0
CTOSC(CCCTC(CTCTC=CC)C(C)C(CT))C________ weight of 2701 logP of 0
CTOCC(C(CTC(CCCTC=CC)C(C)CCCT))C________ weight of 2660 logP of 0
TN(CC(CCCTC(CSCTC)CC)C(C=C=CR))C________ weight of 2671 logP of 0
CSOTC(CTCTC(C)CTC=CC)C(C=C(CR))C________ weight of 2541 logP of 0
TSC(C(CSCTC(C#CTC)CC)C(CTC#CX))C________ weight of 2662 logP of 0
O(COC(C)CTC(CTCTC#CC)C(CCCCCX))C________ weight of 2660 logP of 0
FTN(C(CSCTC(C=CTC)CC)C(C#CTCR))C________ weight of 2551 logP of 0
COTTC(C#CTC(C=CTC=CC)C(C#CCCF))C________ weight of 2460 logP of 0
N(=NC(CCCTC(C=CTC=CC)C(CSC)CT))C________ weight of 2661 logP of 0
CN=CC(C#CTC(C#CTCSCC=C(C)CCCR))C________ weight of 2731 logP of 0
RC#CC(CTCTC(C=CTC=CC=C(C)C=CF))C________ weight of 2300 logP of 0
XOCTC(C)CTC(CTCTC#CC=C(C=COCCl))C________ weight of 2685 logP of 0
